item_id,item_name,category_matches,avg_rating,user_id
91,Google Nest Learning Thermostat,1,4.666666666666667,1
84,Sony A80J OLED TV,1,4.666666666666667,1
82,Anker PowerCore 26800 Portable Charger,1,4.666666666666667,1
78,Fitbit Charge 5 Fitness Tracker,1,4.666666666666667,1
68,Sonos Beam Soundbar,1,4.666666666666667,1
64,Samsung Galaxy Watch 5,1,4.666666666666667,1
59,Fujifilm X-T4 Mirrorless Camera,1,4.666666666666667,1
50,Logitech MX Master 3S Mouse,1,4.666666666666667,1
39,Bose SoundLink Revolve+ II,1,4.666666666666667,1
95,Shure SM7B Microphone,1,4.666666666666667,1
